id,smile,gap,Lumo(ev),Wavelength(nm)
92425167af28339a8ecd0b3092ba3cff,C#[O+],11.75079824,-10.9551486,136.11
0bbb92479bde301d978ad7058969a8f6,C([O-])(F)F,8.00112244,9.13065105,180.47
ab6479d6b31038808e4adc37de28bfd7,C#C[O-],7.66343393,8.75568347,188.86
f48c6623d922349d9becf54db9066d51,C#CO,7.15622089,0.29170192,211.55
d8e12b60879d353b8a40caf2f31b10bf,C(O)(O)[O-],5.07158618,6.79104927,304.74
bb8f475bcbf53c5db31ca8fbaa387911,COO,8.39296084,1.51701325,177.73
fec43d2f7f543c3b912740084961a6b0,C=C=O,5.27294758,-1.57987066,354.09
eaae530d600434c7b1295f9cc570b5d6,C(#CO)O,6.11812124,0.07591869,250.82
7b9d3bc945913d10beb5e3fc9207435e,C#CO[O-],4.6993397,6.86941695,367.38
835f6bfacf6d3d5694f83a8422cba778,CO[CH],3.78586643,-1.96681108,551.47
2436d4988de63cba938cf68711c8f59c,C=C=C=O,3.3932116999999997,-2.98395826,680.29
95f0c74f4bfb3a058fa8e1ec2bbcc957,C(=C=C=O)=C=C=O,4.02532323,-3.39239537,464.57
94b39fc82ec4317f86b5a916af00e22c,COO[O-],4.19756886,7.44601804,371.18
89fecab046d53a4cb7a44cd61cb88cef,C(#CO)OO,5.86968481,-0.50966203,271.2
20f346d006d034cda56cdd279a6eead0,C(=O)OC(=O)O,5.78560282,-1.9972874,301.26
906aa08fc8153467ac16e7c27d9d5807,CCC,11.30861949,2.47048669,121.72
783341df0ec035a8a2a360ba3ada8b93,C/C=C/[CH],2.3809625,-2.73388917,1485.31
38affe4b7509325e822969cf7b8f0e86,COOC(F)(F)F,8.72166972,0.76626176,176.0
4b50c92e88d136169983ff9a3387bc1d,C/C=C/OO,6.38315638,0.43183857,215.33
fb23a95f68c734399c355912af035daf,COOOCF,8.27404877,1.09605908,183.96
1d36dfc6436534b3856990a31a6aa06d,C1[C@@H](C(=O)O1)O,6.24301973,-1.61442863,270.97
e256a2cc42353f818b1468509a0e3d18,C=C[CH](C=O)O,5.706146700000001,-1.22231812,317.24
9f0a5a53e8213ad58ce3b9eff694cbd1,C=C/C(=C/O)/O,4.71675474,-0.42095417,272.94
b587bdffbeb63ab082d3485cda0e205a,C1C2(OC2)OC1=O,6.51295285,-1.29225039,251.32
f4f1ad8d96b031a58b3dbecd2501d975,C12=C(C(O1)O)CO2,2.48572485,-4.36137908,712.19
bbb8526ece803bd1af1cf372665b68ff,C1COC(=O)C(=O)O1,4.97770823,-3.21878919,360.25
7737736f1eeb3723ab5bad2c5d6d77f4,CC#COCCO,7.35350064,1.07782771,194.74
55dc58d2b7e2300499861a4b9d37f194,C=C=C(C=C)C=C,0.62558089,-3.68845105,-1614.14
3e45767fb20931438e39a542e80c2d2c,CO/C(=C/C(=O)OC)/[O-],5.08437535,4.96491906,308.32
bbedb26ef1c23f30902c7a4285a2a8b6,C/C(=C/OC)/C,6.25417624,0.97850756,198.8
0dc6d2dba56233abb1bf748eeedd041f,C=C[CH]CO[C]=O,1.34993771,-4.44491685,639.9
ce30e810ae613d138021157ee2b5311c,C#C/C=C/C1CC1,5.69444597,-0.56653302,227.7
c13bedb8a48334bd8d55663531a3d674,C/C(=C/C(O)O)/O,6.51104808,0.28734816,204.86
9154d88568fd3fea929497311cf85698,C1=COOC(=C1)CO,3.97688765,-1.00789544,386.96
02f57fee55ea3b7e8e0c50d935e558ff,CCC1(C(O1)O)O,8.26561336,1.18286217,175.16
01b22eced2b938da9f40b8719fb19dd3,C1C=C(C1O)CO,6.07594419,-0.37442336,232.39
ee1b682a3e6735bab6473943ae94a46e,C/C/C(=C/C(=O)O)/F,5.77444631,-1.40435971,290.58
f9509a043c9d331eb874ae4e42ada091,CC[C@](F)(F)OF,7.97527199,-0.88000374,209.95
fadb02d65e4538d394b7f8fb780cb785,C([C@@H]([C@@H](C=O)O)O)O,5.58043188,-1.24000527,328.26
167aa7dadf003d4885915cc40eed59bd,C/C=C/[C@@H]1[C@H](O1)C,6.68220527,0.27646376,198.47
1af63a6828dd351ba4a74ec2dd1ea58a,C([C@H]([C@@H](C=O)O)O)O,5.59567004,-1.42912172,318.34
247076a54f083299808e80cfb254f01e,C1C(CO1)(C=O)C=O,5.21063439,-2.12708387,323.42
75f30e73e5c137bdbe20fe4e3c03a016,C1[C@@H]([C@H](C(=O)O1)O)O,6.37771418,-0.90694263,264.0
48104a6f097e36e095b33e95f13cab8a,C1C[C@H]2[C@H](O2)C=C1,6.60628658,0.14612307,207.68
2698895df30b332aa718ace44d06f477,CC#CCOCC=C,6.90451914,0.28870871,201.8
3c1c05ce9ba43ff9b7d9ee8ef18a285b,C1CC1C(CO)O,8.35813076,1.47102666,173.19
8c0e27f37812369590e93bcc2de9737d,C#C[C@@H]1CC=CC(=O)O1,5.52981942,-1.77905518,306.77
198f0ed452f43a2baeeb427370c108a8,C1[C@@H]([C@@](CO1)(O)F)O,7.73690363,0.88599016,182.68
a53de4b9a59a35f4ba36dcb58fc3176e,C/C=C/C([C@H]1CO1)O,6.552408799999999,-0.06829961,215.34
30b84a72455038e08478d76736f8d444,C1C[C@H](OC1)C(=O)O,6.6530895,-0.39564794,252.25
ed4f08b3eea33f6aad160ad3a946a642,C1[C@@H]([C@@H](OC1O)O)O,8.46887953,0.98531031,169.61
be106c0a39d234759d48b5be52d290d0,C#C/C=C/CCCC=O,5.45907082,-1.00735122,309.91
83d3c13f4dc83e21b9d8164a7f6af2e2,CC/C=C/OOC(=O)C,4.93471485,-1.08245358,307.96
6a7d54bcb71f38cfac88f6934ee84db4,C([C@@H]1[C@@H](C2C1O2)O)O,7.84629185,1.22503922,180.62
d4dc4bf42b183e1ba8209664645092e6,C([C@H]([C@@H](C(=O)O)O)O)O,6.17771333,-0.94585436,262.36
7d30af92786834a6b39b88c7c328d98c,C/C=C/COC(=O)C=C,4.97607557,-1.54095893,304.65
5a5d2955f3463409a2caa8e5c44b04ec,C=C[C@@](CO)(C(=O)O)F,6.78751184,-0.76598965,250.05
013624a23eda3ef1a26ee1017e71f221,C([C@@]12CO1)OC(CO2)O,8.42289294,1.30558378,167.49
7c71690140ac3ef79609ba5a29c97f95,C(CCOC=O)CC=O,5.99022954,-0.95456188,308.96
3d2cbf61620a35a3a82ef03853117922,C1[C@H]2[C@@H]1[C@@H](OC2)CO,7.70942052,1.21959702,186.15
0d721ebc27aa3dcd9dcc8ca7c3db8e23,C#COCCCCC#C,8.06289141,1.44082245,190.15
7e52c445e4fd3768b7b18a83cc0cf71c,C/C=C/C[C@H](C(=O)O)F,5.68818744,-1.00082058,264.59
0dcb3499c4753d8480b980abaf7bc82f,C/C(=C/COC)/C(=O)O,5.45090752,-1.52055068,287.28
65c5680024683fe8af86a72b61546ea2,C/C(=C/F)/C(=O)[O-],3.8557987000000002,4.10913311,474.95
972f31b6308731f696b449019663c1f0,CO[C@@H]1C[C@H]2[C@@H]1C2=C,6.79050505,0.12816381,213.16
6d2ecc4dc6ea355d8de795471a768dd6,C1CC(OC(=O)C1)C=O,5.48682604,-1.83483773,325.12
