SMILES,Homo-lumo gap (ev),Lumo(ev),Wavelength(nm)
C#[O+],11.75079824,-10.9551486,136.11
C#[O+],11.75079824,-10.9551486,136.11
C#[O+],11.75079824,-10.9551486,136.11
C([O-])(F)F,8.00112244,9.13065105,180.47
C#[O+],11.75079824,-10.9551486,136.11
C#C[O-],7.66343393,8.75568347,188.86
C#[O+],11.75079824,-10.9551486,136.11
C#C[O-],7.66343393,8.75568347,188.86
C#[O+],11.75079824,-10.9551486,136.11
C#C[O-],7.66343393,8.75568347,188.86
C#CO,7.15622089,0.29170192,211.55
C(O)(O)[O-],5.07158618,6.79104927,304.74
COO,8.39296084,1.51701325,177.73
C=C=O,5.27294758,-1.57987066,354.09
C(#CO)O,6.11812124,0.07591869,250.82
C#CO[O-],4.6993397,6.86941695,367.38
CO[CH],3.78586643,-1.96681108,551.47
C=C=C=O,3.3932117,-2.98395826,680.29
C(=C=C=O)=C=C=O,4.02532323,-3.39239537,464.57
COO[O-],4.19756886,7.44601804,371.18
C(#CO)OO,5.86968481,-0.50966203,271.2
C(=O)OC(=O)O,5.78560282,-1.9972874,301.26
CCC,11.30861949,2.47048669,121.72
C/C=C/[CH],2.3809625,-2.73388917,1485.31
COOC(F)(F)F,8.72166972,0.76626176,176
C/C=C/OO,6.38315638,0.43183857,215.33
COOOCF,8.27404877,1.09605908,183.96
C1[C@@H](C(=O)O1)O,6.24301973,-1.61442863,270.97
C=C[CH](C=O)O,5.7061467,-1.22231812,317.24
C=C/C(=C/O)/O,4.71675474,-0.42095417,272.94
C1C2(OC2)OC1=O,6.51295285,-1.29225039,251.32
C12=C(C(O1)O)CO2,2.48572485,-4.36137908,712.19
C1COC(=O)C(=O)O1,4.97770823,-3.21878919,360.25
CC#COCCO,7.35350064,1.07782771,194.74
C=C=C(C=C)C=C,0.62558089,-3.68845105,-1614.14
CO/C(=C/C(=O)OC)/[O-],5.08437535,4.96491906,308.32
C/C(=C/OC)/C,6.25417624,0.97850756,198.8
C=C[CH]CO[C]=O,1.34993771,-4.44491685,639.9
C/C=C/OO,6.60274915,0.60653319,213.5
C#C/C=C/C1CC1,5.69444597,-0.56653302,227.7
C/C(=C/C(O)O)/O,6.51104808,0.28734816,204.86
C1=COOC(=C1)CO,3.97688765,-1.00789544,386.96
CCC1(C(O1)O)O,8.26561336,1.18286217,175.16
C1C=C(C1O)CO,6.07594419,-0.37442336,232.39
C/C/C(=C/C(=O)O)/F,5.77444631,-1.40435971,290.58
CC[C@](F)(F)OF,7.97527199,-0.88000374,209.95
C([C@@H]([C@@H](C=O)O)O)O,5.58043188,-1.24000527,328.26
C/C=C/[C@@H]1[C@H](O1)C,6.68220527,0.27646376,198.47
